DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
A,L,D,5J,U,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,111583.311
A,L,D,5J,U,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,271114.906
T,W,T,5J,P,5J,K,TO1,TO1,A,A,3,A,K,S,2021-S2,5319.0
T,W,T,5J,P,5J,K,TO1,TO1,A,A,3,A,K,S,2022-S1,4090.0
A,C,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,620994.465
A,C,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,597724.103
A,R,E,5J,K,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,4432.118
A,R,E,5J,K,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,3347.819
A,T,E,5J,U,5J,A,TO1,TO1,U,A,3,A,K,S,2021-S2,97544.439
A,T,E,5J,U,5J,A,TO1,TO1,U,A,3,A,K,S,2022-S1,85941.038
Q,C,B,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,541.321
Q,C,B,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,544.098
A,R,D,5J,B,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,18034314.046
A,R,D,5J,B,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,19034102.919
A,U,T,5J,K,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,622436.0
A,U,T,5J,K,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,630566.0
A,U,T,5J,N,5J,K,TO1,TO1,A,A,3,C,K,S,2021-S2,2385.0
A,U,T,5J,N,5J,K,TO1,TO1,A,A,3,C,K,S,2022-S1,3675.0
D,S,E,5J,C,5K,A,TO1,TO1,A,A,3,A,K,S,2021-S2,18499.182
D,S,E,5J,C,5K,A,TO1,TO1,A,A,3,A,K,S,2022-S1,16882.105
T,V,T,5J,P,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,49699.0
T,V,T,5J,P,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,42727.0
A,R,B,5J,C,5J,A,TO1,JPY,A,A,3,C,K,S,2021-S2,726563.237
A,R,B,5J,C,5J,A,TO1,JPY,A,A,3,C,K,S,2022-S1,994476.108
A,V,T,5J,A,5J,A,TO1,TO1,A,Z,3,C,K,S,2021-S2,257770.5
A,V,T,5J,A,5J,A,TO1,TO1,A,Z,3,C,K,S,2022-S1,374680.0
H,U,T,5J,M,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,2163.0
H,U,T,5J,M,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,2701.0
A,U,T,5J,B,5J,F,TO1,TO1,A,A,3,C,K,S,2021-S2,249904.5
A,U,T,5J,B,5J,F,TO1,TO1,A,A,3,C,K,S,2022-S1,239356.0
A,R,E,5J,B,5F,A,TO1,TO1,A,A,3,C,K,S,2021-S2,9604.564
A,R,E,5J,B,5F,A,TO1,TO1,A,A,3,C,K,S,2022-S1,8666.268
D,T,B,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,1053.066
D,T,B,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,2129.817
A,A,D,5J,A,5J,A,TO1,EUR,A,A,3,C,K,S,2021-S2,128404510.345
A,A,D,5J,A,5J,A,TO1,EUR,A,A,3,C,K,S,2022-S1,149596059.709
A,R,E,5J,A,5K,A,TO1,TO1,A,A,3,C,K,S,2021-S2,774758.901
A,R,E,5J,A,5K,A,TO1,TO1,A,A,3,C,K,S,2022-S1,830919.178
S,U,T,5J,O,5J,A,TO1,TO1,D,A,3,A,K,E,2021-S2,127279.0
S,U,T,5J,O,5J,A,TO1,TO1,D,A,3,A,K,E,2022-S1,137452.0
T,V,T,5J,K,5J,G,TO1,TO1,A,A,3,A,K,S,2021-S2,509453.0
T,V,T,5J,K,5J,G,TO1,TO1,A,A,3,A,K,S,2022-S1,516455.0
A,W,T,5J,A,5J,C,TO1,TO1,A,A,3,C,K,S,2021-S2,5197042.678
A,W,T,5J,A,5J,C,TO1,TO1,A,A,3,C,K,S,2022-S1,5356041.267
A,D,E,5J,K,5U,A,TO1,TO1,A,A,3,C,K,S,2021-S2,223.999
A,D,E,5J,K,5U,A,TO1,TO1,A,A,3,C,K,S,2022-S1,218.882
S,U,T,5J,B,US,A,TO1,TO1,A,A,3,A,K,E,2021-S2,131431.0
S,U,T,5J,B,US,A,TO1,TO1,A,A,3,A,K,E,2022-S1,122443.0
D,C,B,5J,U,5J,A,TO1,JPY,A,A,3,C,K,S,2021-S2,52392.139
D,C,B,5J,U,5J,A,TO1,JPY,A,A,3,C,K,S,2022-S1,104619.862
A,L,D,5J,B,5J,A,TO1,CHF,A,A,3,C,K,S,2021-S2,121283.059
A,L,D,5J,B,5J,A,TO1,CHF,A,A,3,C,K,S,2022-S1,73215.264
A,V,T,5J,O,5J,A,TO1,TO1,A,H,3,C,K,S,2021-S2,36896.0
A,V,T,5J,O,5J,A,TO1,TO1,A,H,3,C,K,S,2022-S1,30094.0
D,R,B,5J,A,5J,A,EUR,TO1,A,A,3,C,K,S,2021-S2,54254.411
D,R,B,5J,A,5J,A,EUR,TO1,A,A,3,C,K,S,2022-S1,95742.94
S,V,T,5J,P,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,69872.0
S,V,T,5J,P,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,53778.0
A,V,T,5J,B,5J,A,TO1,TO1,A,D,3,C,K,S,2021-S2,68019.5
A,V,T,5J,B,5J,A,TO1,TO1,A,D,3,C,K,S,2022-S1,67216.5
T,U,T,5J,O,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,73017.0
T,U,T,5J,O,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,71424.0
D,R,B,5J,C,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,349.642
D,R,B,5J,C,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,1519.247
D,A,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,19254.818
D,A,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,43781.779
A,T,D,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2021-S2,4771.291
A,T,D,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2022-S1,6473.862
D,T,E,5J,C,5P,A,TO1,TO1,A,A,3,A,K,S,2021-S2,7945.866
D,T,E,5J,C,5P,A,TO1,TO1,A,A,3,A,K,S,2022-S1,10680.83
D,T,B,5J,K,5J,A,TO1,CAD,A,A,3,A,K,S,2021-S2,0.999
D,T,B,5J,K,5J,A,TO1,CAD,A,A,3,A,K,S,2022-S1,12.7
D,S,B,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,119110.398
D,S,B,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,206639.551
A,S,D,5J,U,5J,A,TO1,SEK,A,A,3,A,K,S,2021-S2,10874.831
A,S,D,5J,U,5J,A,TO1,SEK,A,A,3,A,K,S,2022-S1,14007.019
C,W,T,5J,O,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,6285.0
C,W,T,5J,O,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,7332.682
T,W,T,5J,L,5J,C,TO1,TO1,A,A,3,A,K,S,2021-S2,162224.872
T,W,T,5J,L,5J,C,TO1,TO1,A,A,3,A,K,S,2022-S1,198802.252
Q,M,D,5J,B,5J,A,CHF,TO1,A,A,3,A,K,S,2021-S2,9530.333
Q,M,D,5J,B,5J,A,CHF,TO1,A,A,3,A,K,S,2022-S1,8676.155
S,U,T,5J,A,5J,A,TO1,TO1,A,Z,3,A,K,E,2021-S2,1145757.0
S,U,T,5J,A,5J,A,TO1,TO1,A,Z,3,A,K,E,2022-S1,1153839.0
A,C,E,5J,B,5J,A,TO1,TO1,D,A,3,C,K,S,2021-S2,110388.281
A,C,E,5J,B,5J,A,TO1,TO1,D,A,3,C,K,S,2022-S1,93511.398
D,N,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2021-S2,93537.647
