COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,IRSINR_MIBOROIS_FIX,TRBP,N_A,GL_OP,S2540,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,TABR,N_A,GL_OP,S2541,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,HABP,N_A,GL_OP,S2542,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,HABR,N_A,GL_OP,S2543,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRREC,TR_B,GL_OP,S2545,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRREC,BK_B,GL_OP,S2546,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRPD,TR_B,GL_OP,S2548,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,GRPD,BK_B,GL_OP,S2549,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FIX,NPPVBP,N_A,GL_OP,S2552,2019-Q2
N_A,N_A,IRSINR_MIBOROIS_FIX,REM,N_A,GL_OP,S2553,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,TRBP,N_A,GL_OP,S2554,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,TABR,N_A,GL_OP,S2555,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,HABP,N_A,GL_OP,S2556,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,HABR,N_A,GL_OP,S2557,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRREC,TR_B,GL_OP,S2559,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRREC,BK_B,GL_OP,S2560,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRPD,TR_B,GL_OP,S2562,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,GRPD,BK_B,GL_OP,S2563,2019-Q2
N_A,INR,IRSINR_MIBOROIS_FLOAT,NPPVBP,N_A,GL_OP,S2566,2019-Q2
N_A,N_A,IRSINR_MIBOROIS_FLOAT,REM,N_A,GL_OP,S2567,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,TRBP,N_A,GL_OP,S2568,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,TABR,N_A,GL_OP,S2569,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,HABP,N_A,GL_OP,S2570,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,HABR,N_A,GL_OP,S2571,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRREC,TR_B,GL_OP,S2573,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRREC,BK_B,GL_OP,S2574,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRPD,TR_B,GL_OP,S2576,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,GRPD,BK_B,GL_OP,S2577,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FIX,NPPVBP,N_A,GL_OP,S2580,2019-Q2
N_A,N_A,IRSINR_INBMKINCMT_FIX,REM,N_A,GL_OP,S2581,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,TRBP,N_A,GL_OP,S2582,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,TABR,N_A,GL_OP,S2583,2019-Q2
