Agency,EntryPoint,Query,ResponseCode
ECB,https://data-api.ecb.europa.eu/service,/attachmentconstraint/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/structure/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/conceptscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/codelist/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/categoryscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/hierarchicalcodelist/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/organisationscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/agencyscheme/all/all/latest,200
ECB,https://data-api.ecb.europa.eu/service,/dataproviderscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/dataconsumerscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/organisationunitscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/transformationscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/rulesetscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/userdefinedoperatorscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/customtypescheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/namepersonalisationscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/namealiasscheme/all/all/latest,404
ECB,https://data-api.ecb.europa.eu/service,/conceptscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/codelist/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/categoryscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/hierarchicalcodelist/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/organisationscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/agencyscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/dataproviderscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/dataconsumerscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/organisationunitscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/transformationscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/rulesetscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/userdefinedoperatorscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/customtypescheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/namepersonalisationscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,/namealiasscheme/all/all/latest/all,404
ECB,https://data-api.ecb.europa.eu/service,"/data/ECB.DISS,LCI_PUB,1.0/all/all",200
ECB,https://data-api.ecb.europa.eu/service,"/availableconstraint/ECB.DISS,LCI_PUB,1.0/all/all/all",404
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/dataflow/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/datastructure/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/metadatastructure/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/metadataflow/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/provisionagreement/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/structureset/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/process/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/categorisation/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/contentconstraint/all/all/latest,404
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/actualconstraint/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/allowedconstraint/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/attachmentconstraint/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/structure/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/conceptscheme/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/codelist/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/categoryscheme/all/all/latest,200
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/hierarchicalcodelist/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/organisationscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/agencyscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/dataproviderscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/dataconsumerscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/organisationunitscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/transformationscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/rulesetscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/userdefinedoperatorscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/customtypescheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/namepersonalisationscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/namealiasscheme/all/all/latest,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/conceptscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/codelist/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/categoryscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/hierarchicalcodelist/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/organisationscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/agencyscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/dataproviderscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/dataconsumerscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/organisationunitscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/transformationscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/rulesetscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/userdefinedoperatorscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/customtypescheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/namepersonalisationscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,/namealiasscheme/all/all/latest/all,405
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,"/data/ESTAT,HLTH_EHIS_TAD,1.0/all/all",400
ESTAT,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,"/availableconstraint/ESTAT,HLTH_EHIS_TAD,1.0/all/all/all",405
ILO,https://www.ilo.org/sdmx/rest,/dataflow/all/all/latest,200
